dataset_id,author,downloads,likes,created_at,last_modified,tags
voidful/NMSQA_audio,voidful,281,1,2022-11-16 08:49:36+00:00,2022-11-24 01:13:16+00:00,"size_categories:10K<n<100K,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
yuchenlin/NaturalChat_en_zh,yuchenlin,281,2,2024-02-18 16:56:43+00:00,2024-02-25 07:55:20+00:00,"size_categories:100K<n<1M,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zai-org/webglm-qa,zai-org,280,62,2023-07-11 16:59:04+00:00,2023-07-12 17:14:35+00:00,"task_categories:text-generation,task_categories:question-answering,multilinguality:monolingual,language:en,size_categories:10K<n<100K,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2306.07906,region:us"
zai-org/VisionRewardDB-Video,zai-org,280,3,2025-02-09 12:17:56+00:00,2025-02-24 07:38:39+00:00,"license:apache-2.0,size_categories:10K<n<100K,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2412.21059,region:us"
voidful/llmcodec-librispeech,voidful,273,0,2026-01-01 15:48:05+00:00,2026-01-01 17:49:47+00:00,"size_categories:100K<n<1M,format:parquet,format:optimized-parquet,modality:tabular,modality:text,library:datasets,library:dask,library:polars,library:mlcroissant,region:us"
voidful/spoken-alpaca-gpt4-llm-codec,voidful,269,1,2025-12-24 15:42:43+00:00,2025-12-24 16:51:53+00:00,"size_categories:10K<n<100K,format:parquet,modality:audio,modality:text,library:datasets,library:dask,library:polars,library:mlcroissant,region:us"
wassname/helpsteer2_dpo_nonverbose,wassname,269,0,2024-08-22 04:21:34+00:00,2024-09-19 08:10:28+00:00,"task_categories:text-classification,task_categories:question-answering,language:en,license:mit,size_categories:10K<n<100K,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us,DPO,RLHF,preferences"
zjunlp/MemTraceBench,zjunlp,239,3,2026-06-05 07:56:07+00:00,2026-06-07 09:30:31+00:00,"task_categories:question-answering,language:en,license:mit,arxiv:2605.28732,region:us,memory,llm,agent,tracing,error-attribution,execution-graph"
codelion/sutra-1B,codelion,233,2,2026-01-14 03:08:33+00:00,2026-03-08 14:29:11+00:00,"task_categories:text-generation,language:en,license:apache-2.0,size_categories:100K<n<1M,format:json,modality:tabular,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,pretraining,educational,pedagogical,synthetic,sutra,multi-domain"
zai-org/glm-simple-evals-dataset,zai-org,225,5,2025-08-05 06:52:01+00:00,2025-08-05 11:45:16+00:00,"license:apache-2.0,size_categories:10K<n<100K,format:parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zai-org/ImageMining,zai-org,221,6,2026-05-05 12:30:05+00:00,2026-05-16 09:27:46+00:00,"task_categories:visual-question-answering,task_categories:question-answering,language:en,language:zh,license:cc-by-sa-4.0,size_categories:n<1K,format:parquet,format:optimized-parquet,modality:image,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,multi-modal-qa,image-mining,knowledge-mining,visual-reasoning,search-augmented-reasoning"
xg-chu/UniLSTalkDataset,xg-chu,217,1,2026-02-28 10:41:37+00:00,2026-03-12 12:47:20+00:00,"language:en,modality:audio,library:webdataset,region:us,webdataset,audio,motion"
zake7749/Qwen3-Coder-Next-OpenCode-Preference,zake7749,216,0,2026-03-22 14:15:59+00:00,2026-03-22 14:16:34+00:00,"task_categories:text-generation,language:en,license:cc-by-4.0,size_categories:10K<n<100K,format:parquet,format:optimized-parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,code,competitive-programming,rejection-sampling,preference,dpo,kto,rlhf,python"
wangrongsheng/HealthCareMagic-100k-en,wangrongsheng,214,20,2023-05-07 07:26:29+00:00,2023-05-07 07:33:00+00:00,"size_categories:100K<n<1M,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
voidful/commonvoice_10_unit,voidful,208,0,2022-11-23 12:36:54+00:00,2022-11-23 15:09:06+00:00,"size_categories:1M<n<10M,format:parquet,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
vwxyzjn/summarize_from_feedback_tldr_3_filtered_oai_preprocessing_1708445155,vwxyzjn,208,0,2024-02-20 16:07:50+00:00,2024-02-20 16:08:12+00:00,"size_categories:100K<n<1M,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
